,model,dataset,question_id,answer_index
0,Meta-Llama-3.1-8B-Instruct,crass,0,0
1,Meta-Llama-3.1-8B-Instruct,crass,1,0
2,Meta-Llama-3.1-8B-Instruct,crass,2,0
3,Meta-Llama-3.1-8B-Instruct,crass,3,0
4,Meta-Llama-3.1-8B-Instruct,crass,4,0
5,Meta-Llama-3.1-8B-Instruct,crass,5,0
6,Meta-Llama-3.1-8B-Instruct,crass,6,0
7,Meta-Llama-3.1-8B-Instruct,crass,7,0
8,Meta-Llama-3.1-8B-Instruct,crass,8,0
9,Meta-Llama-3.1-8B-Instruct,crass,9,0
10,Meta-Llama-3.1-8B-Instruct,crass,10,0
11,Meta-Llama-3.1-8B-Instruct,crass,11,0
12,Meta-Llama-3.1-8B-Instruct,crass,12,0
13,Meta-Llama-3.1-8B-Instruct,crass,13,0
14,Meta-Llama-3.1-8B-Instruct,crass,14,0
15,Meta-Llama-3.1-8B-Instruct,crass,15,0
16,Meta-Llama-3.1-8B-Instruct,crass,16,0
17,Meta-Llama-3.1-8B-Instruct,crass,17,0
18,Meta-Llama-3.1-8B-Instruct,crass,18,1
19,Meta-Llama-3.1-8B-Instruct,crass,19,0
20,Meta-Llama-3.1-8B-Instruct,crass,20,0
21,Meta-Llama-3.1-8B-Instruct,crass,21,0
22,Meta-Llama-3.1-8B-Instruct,crass,22,0
23,Meta-Llama-3.1-8B-Instruct,crass,23,0
24,Meta-Llama-3.1-8B-Instruct,crass,24,0
25,Meta-Llama-3.1-8B-Instruct,crass,25,0
26,Meta-Llama-3.1-8B-Instruct,crass,26,2
27,Meta-Llama-3.1-8B-Instruct,crass,27,0
28,Meta-Llama-3.1-8B-Instruct,crass,28,0
29,Meta-Llama-3.1-8B-Instruct,crass,29,0
30,Meta-Llama-3.1-8B-Instruct,crass,30,0
31,Meta-Llama-3.1-8B-Instruct,crass,31,2
32,Meta-Llama-3.1-8B-Instruct,crass,32,0
33,Meta-Llama-3.1-8B-Instruct,crass,33,0
34,Meta-Llama-3.1-8B-Instruct,crass,34,0
35,Meta-Llama-3.1-8B-Instruct,crass,35,0
36,Meta-Llama-3.1-8B-Instruct,crass,36,0
37,Meta-Llama-3.1-8B-Instruct,crass,37,0
38,Meta-Llama-3.1-8B-Instruct,crass,38,0
39,Meta-Llama-3.1-8B-Instruct,crass,39,0
40,Meta-Llama-3.1-8B-Instruct,crass,40,0
41,Meta-Llama-3.1-8B-Instruct,crass,41,0
42,Meta-Llama-3.1-8B-Instruct,crass,42,0
43,Meta-Llama-3.1-8B-Instruct,crass,43,1
44,Meta-Llama-3.1-8B-Instruct,crass,44,0
45,Meta-Llama-3.1-8B-Instruct,crass,45,0
46,Meta-Llama-3.1-8B-Instruct,crass,46,0
47,Meta-Llama-3.1-8B-Instruct,crass,47,0
48,Meta-Llama-3.1-8B-Instruct,crass,48,0
49,Meta-Llama-3.1-8B-Instruct,crass,49,0
50,Meta-Llama-3.1-8B-Instruct,crass,50,0
51,Meta-Llama-3.1-8B-Instruct,crass,51,0
52,Meta-Llama-3.1-8B-Instruct,crass,52,0
53,Meta-Llama-3.1-8B-Instruct,crass,53,0
54,Meta-Llama-3.1-8B-Instruct,crass,54,0
55,Meta-Llama-3.1-8B-Instruct,crass,55,0
56,Meta-Llama-3.1-8B-Instruct,crass,56,0
57,Meta-Llama-3.1-8B-Instruct,crass,57,0
58,Meta-Llama-3.1-8B-Instruct,crass,58,0
59,Meta-Llama-3.1-8B-Instruct,crass,59,0
60,Meta-Llama-3.1-8B-Instruct,crass,60,0
61,Meta-Llama-3.1-8B-Instruct,crass,61,0
62,Meta-Llama-3.1-8B-Instruct,crass,62,0
63,Meta-Llama-3.1-8B-Instruct,crass,63,0
64,Meta-Llama-3.1-8B-Instruct,crass,64,3
65,Meta-Llama-3.1-8B-Instruct,crass,65,0
66,Meta-Llama-3.1-8B-Instruct,crass,66,0
67,Meta-Llama-3.1-8B-Instruct,crass,67,0
68,Meta-Llama-3.1-8B-Instruct,crass,68,0
69,Meta-Llama-3.1-8B-Instruct,crass,69,0
70,Meta-Llama-3.1-8B-Instruct,crass,70,0
71,Meta-Llama-3.1-8B-Instruct,crass,71,0
72,Meta-Llama-3.1-8B-Instruct,crass,72,0
73,Meta-Llama-3.1-8B-Instruct,crass,73,0
74,Meta-Llama-3.1-8B-Instruct,crass,74,0
75,Meta-Llama-3.1-8B-Instruct,crass,75,3
76,Meta-Llama-3.1-8B-Instruct,crass,76,0
77,Meta-Llama-3.1-8B-Instruct,crass,77,0
78,Meta-Llama-3.1-8B-Instruct,crass,78,0
79,Meta-Llama-3.1-8B-Instruct,crass,79,0
80,Meta-Llama-3.1-8B-Instruct,crass,80,3
81,Meta-Llama-3.1-8B-Instruct,crass,81,0
82,Meta-Llama-3.1-8B-Instruct,crass,82,0
83,Meta-Llama-3.1-8B-Instruct,crass,83,0
84,Meta-Llama-3.1-8B-Instruct,crass,84,0
85,Meta-Llama-3.1-8B-Instruct,crass,85,0
86,Meta-Llama-3.1-8B-Instruct,crass,86,0
87,Meta-Llama-3.1-8B-Instruct,crass,87,0
88,Meta-Llama-3.1-8B-Instruct,crass,88,0
89,Meta-Llama-3.1-8B-Instruct,crass,89,0
90,Meta-Llama-3.1-8B-Instruct,crass,90,1
91,Meta-Llama-3.1-8B-Instruct,crass,91,0
92,Meta-Llama-3.1-8B-Instruct,crass,92,2
93,Meta-Llama-3.1-8B-Instruct,crass,93,0
94,Meta-Llama-3.1-8B-Instruct,crass,94,0
95,Meta-Llama-3.1-8B-Instruct,crass,95,0
96,Meta-Llama-3.1-8B-Instruct,crass,96,1
97,Meta-Llama-3.1-8B-Instruct,crass,97,0
98,Meta-Llama-3.1-8B-Instruct,crass,98,0
99,Meta-Llama-3.1-8B-Instruct,crass,99,2
100,Meta-Llama-3.1-8B-Instruct,crass,100,0
101,Meta-Llama-3.1-8B-Instruct,crass,101,1
102,Meta-Llama-3.1-8B-Instruct,crass,102,0
103,Meta-Llama-3.1-8B-Instruct,crass,103,0
104,Meta-Llama-3.1-8B-Instruct,crass,104,0
105,Meta-Llama-3.1-8B-Instruct,crass,105,0
106,Meta-Llama-3.1-8B-Instruct,crass,106,0
107,Meta-Llama-3.1-8B-Instruct,crass,107,2
108,Meta-Llama-3.1-8B-Instruct,crass,108,0
109,Meta-Llama-3.1-8B-Instruct,crass,109,0
110,Meta-Llama-3.1-8B-Instruct,crass,110,0
111,Meta-Llama-3.1-8B-Instruct,crass,111,0
112,Meta-Llama-3.1-8B-Instruct,crass,112,0
113,Meta-Llama-3.1-8B-Instruct,crass,114,0
114,Meta-Llama-3.1-8B-Instruct,crass,115,0
115,Meta-Llama-3.1-8B-Instruct,crass,116,0
116,Meta-Llama-3.1-8B-Instruct,crass,117,2
117,Meta-Llama-3.1-8B-Instruct,crass,118,0
118,Meta-Llama-3.1-8B-Instruct,crass,119,0
119,Meta-Llama-3.1-8B-Instruct,crass,120,0
120,Meta-Llama-3.1-8B-Instruct,crass,121,0
121,Meta-Llama-3.1-8B-Instruct,crass,122,0
122,Meta-Llama-3.1-8B-Instruct,crass,123,0
123,Meta-Llama-3.1-8B-Instruct,crass,124,0
124,Meta-Llama-3.1-8B-Instruct,crass,125,0
125,Meta-Llama-3.1-8B-Instruct,crass,126,0
126,Meta-Llama-3.1-8B-Instruct,crass,127,2
127,Meta-Llama-3.1-8B-Instruct,crass,128,0
128,Meta-Llama-3.1-8B-Instruct,crass,129,0
129,Meta-Llama-3.1-8B-Instruct,crass,130,0
130,Meta-Llama-3.1-8B-Instruct,crass,131,0
131,Meta-Llama-3.1-8B-Instruct,crass,132,0
132,Meta-Llama-3.1-8B-Instruct,crass,133,0
133,Meta-Llama-3.1-8B-Instruct,crass,134,0
134,Meta-Llama-3.1-8B-Instruct,crass,135,0
135,Meta-Llama-3.1-8B-Instruct,crass,136,2
136,Meta-Llama-3.1-8B-Instruct,crass,137,0
137,Meta-Llama-3.1-8B-Instruct,crass,138,0
138,Meta-Llama-3.1-8B-Instruct,crass,139,0
139,Meta-Llama-3.1-8B-Instruct,crass,140,0
140,Meta-Llama-3.1-8B-Instruct,crass,141,0
141,Meta-Llama-3.1-8B-Instruct,crass,142,0
142,Meta-Llama-3.1-8B-Instruct,crass,143,0
143,Meta-Llama-3.1-8B-Instruct,crass,144,0
144,Meta-Llama-3.1-8B-Instruct,crass,145,0
145,Meta-Llama-3.1-8B-Instruct,crass,146,0
146,Meta-Llama-3.1-8B-Instruct,crass,147,0
147,Meta-Llama-3.1-8B-Instruct,crass,148,0
148,Meta-Llama-3.1-8B-Instruct,crass,149,2
149,Meta-Llama-3.1-8B-Instruct,crass,150,0
150,Meta-Llama-3.1-8B-Instruct,crass,151,0
151,Meta-Llama-3.1-8B-Instruct,crass,152,1
152,Meta-Llama-3.1-8B-Instruct,crass,153,0
